Country,Year,Energy Type,consumption (GWh)
Algeria,1965,Wind,
Algeria,1965,Hydro,1182.7958
Algeria,1965,Solar,
Algeria,1965,Nuclear,0.0
Algeria,1965,Biofuels,
Algeria,1965,Other Renewables,
Algeria,1965,Coal-Peat and Manufactured Gases,814.09997
Algeria,1965,Oil and Petroleum Products,15405.2515
Algeria,1965,Natural Gas,7430.5
Algeria,1966,Wind,
Algeria,1966,Hydro,1049.7311
Algeria,1966,Solar,
Algeria,1966,Nuclear,0.0
Algeria,1966,Biofuels,
Algeria,1966,Other Renewables,
Algeria,1966,Coal-Peat and Manufactured Gases,790.83997
Algeria,1966,Oil and Petroleum Products,20272.704999999998
Algeria,1966,Natural Gas,7719.249699999999
Algeria,1967,Wind,
Algeria,1967,Hydro,1212.3654999999999
Algeria,1967,Solar,
Algeria,1967,Nuclear,0.0
Algeria,1967,Biofuels,
Algeria,1967,Other Renewables,
Algeria,1967,Coal-Peat and Manufactured Gases,604.76
Algeria,1967,Oil and Petroleum Products,18942.03
Algeria,1967,Natural Gas,7488.25
Algeria,1968,Wind,
Algeria,1968,Hydro,1664.7849999999999
Algeria,1968,Solar,
Algeria,1968,Nuclear,0.0
Algeria,1968,Biofuels,
Algeria,1968,Other Renewables,
Algeria,1968,Coal-Peat and Manufactured Gases,639.6500000000001
Algeria,1968,Oil and Petroleum Products,20167.301
Algeria,1968,Natural Gas,7873.25
Algeria,1969,Wind,
Algeria,1969,Hydro,1067.473
Algeria,1969,Solar,
Algeria,1969,Nuclear,0.0
Algeria,1969,Biofuels,
Algeria,1969,Other Renewables,
Algeria,1969,Coal-Peat and Manufactured Gases,814.09997
Algeria,1969,Oil and Petroleum Products,21305.931
Algeria,1969,Natural Gas,10351.687
Algeria,1970,Wind,
Algeria,1970,Hydro,1715.0539
Algeria,1970,Solar,
Algeria,1970,Nuclear,0.0
Algeria,1970,Biofuels,
Algeria,1970,Other Renewables,
Algeria,1970,Coal-Peat and Manufactured Gases,965.28995
Algeria,1970,Oil and Petroleum Products,24347.68
Algeria,1970,Natural Gas,9730.875
Algeria,1971,Wind,
Algeria,1971,Hydro,975.80636
Algeria,1971,Solar,
Algeria,1971,Nuclear,0.0
Algeria,1971,Biofuels,
Algeria,1971,Other Renewables,
Algeria,1971,Coal-Peat and Manufactured Gases,267.49
Algeria,1971,Oil and Petroleum Products,27440.048000000003
Algeria,1971,Natural Gas,11049.4995
Algeria,1972,Wind,
Algeria,1972,Hydro,1463.7096999999999
Algeria,1972,Solar,
Algeria,1972,Nuclear,0.0
Algeria,1972,Biofuels,
Algeria,1972,Other Renewables,
Algeria,1972,Coal-Peat and Manufactured Gases,232.59999000000002
Algeria,1972,Oil and Petroleum Products,30121.414
Algeria,1972,Natural Gas,12830.125
Algeria,1973,Wind,
Algeria,1973,Hydro,2223.6557000000003
Algeria,1973,Solar,
Algeria,1973,Nuclear,0.0
Algeria,1973,Biofuels,
Algeria,1973,Other Renewables,
Algeria,1973,Coal-Peat and Manufactured Gases,267.49
Algeria,1973,Oil and Petroleum Products,32900.345
Algeria,1973,Natural Gas,17859.186
Algeria,1974,Wind,
Algeria,1974,Hydro,1469.6236000000001
Algeria,1974,Solar,
Algeria,1974,Nuclear,0.0
Algeria,1974,Biofuels,
Algeria,1974,Other Renewables,
Algeria,1974,Coal-Peat and Manufactured Gases,220.96999
Algeria,1974,Oil and Petroleum Products,36543.840000000004
Algeria,1974,Natural Gas,20674.5
Algeria,1975,Wind,
Algeria,1975,Hydro,969.8925
Algeria,1975,Solar,
Algeria,1975,Nuclear,0.0
Algeria,1975,Biofuels,
Algeria,1975,Other Renewables,
Algeria,1975,Coal-Peat and Manufactured Gases,279.12
Algeria,1975,Oil and Petroleum Products,40630.670000000006
Algeria,1975,Natural Gas,28490.0
Algeria,1976,Wind,
Algeria,1976,Hydro,1150.2688
Algeria,1976,Solar,
Algeria,1976,Nuclear,0.0
Algeria,1976,Biofuels,
Algeria,1976,Other Renewables,
Algeria,1976,Coal-Peat and Manufactured Gases,546.6099399999999
Algeria,1976,Oil and Petroleum Products,46717.73
Algeria,1976,Natural Gas,33687.5
Algeria,1977,Wind,
Algeria,1977,Hydro,795.43
Algeria,1977,Solar,
Algeria,1977,Nuclear,0.0
Algeria,1977,Biofuels,
Algeria,1977,Other Renewables,
Algeria,1977,Coal-Peat and Manufactured Gases,709.43
Algeria,1977,Oil and Petroleum Products,52806.49
Algeria,1977,Natural Gas,35901.253
Algeria,1978,Wind,
Algeria,1978,Hydro,739.24726
Algeria,1978,Solar,
Algeria,1978,Nuclear,0.0
Algeria,1978,Biofuels,
Algeria,1978,Other Renewables,
Algeria,1978,Coal-Peat and Manufactured Gases,360.53000000000003
Algeria,1978,Oil and Petroleum Products,54607.944
Algeria,1978,Natural Gas,57653.75
Algeria,1979,Wind,
Algeria,1979,Hydro,860.4839
Algeria,1979,Solar,
Algeria,1979,Nuclear,0.0
Algeria,1979,Biofuels,
Algeria,1979,Other Renewables,
Algeria,1979,Coal-Peat and Manufactured Gases,837.36
Algeria,1979,Oil and Petroleum Products,65318.619999999995
Algeria,1979,Natural Gas,81523.74
Algeria,1980,Wind,
Algeria,1980,Hydro,759.94605
Algeria,1980,Solar,
Algeria,1980,Nuclear,0.0
Algeria,1980,Biofuels,
Algeria,1980,Other Renewables,
Algeria,1980,Coal-Peat and Manufactured Gases,744.3199999999999
Algeria,1980,Oil and Petroleum Products,66202.43000000001
