Country,Year,Product,Value,total emissions CO2 (KgCo2),Energy Type,consumption (GWh),iso_alpha
Australia,2023,Hydro,1060.075,25441.8,Hydro,39643.35,AUS
Australia,2023,Coal-Peat and Manufactured Gases,9722.789,7972686.980000001,Coal-Peat and Manufactured Gases,419011.19999999995,AUS
Australia,2023,Oil and Petroleum Products,298.2568,214744.896,Oil and Petroleum Products,601653.6,AUS
Australia,2023,Natural Gas,3151.4068,1544189.332,Natural Gas,401215.03,AUS
Australia,2023,Combustible Renewables,246.4223,56677.129,,,
Australia,2023,Solar,5220.9226,250604.2848,Solar,116880.1,AUS
Australia,2023,Wind,2686.5576,30895.4124,Wind,82782.06,AUS
Austria,2023,Hydro,4284.7478,102833.94720000001,Hydro,100933.86,AUT
Austria,2023,Coal-Peat and Manufactured Gases,167.2008,137104.656,Coal-Peat and Manufactured Gases,26736.968999999997,AUT
Austria,2023,Oil and Petroleum Products,69.056,49720.32,Oil and Petroleum Products,135028.12,AUT
Austria,2023,Natural Gas,1042.2684,510711.51599999995,Natural Gas,68812.78,AUT
Austria,2023,Combustible Renewables,411.3173,94602.979,,,
Austria,2023,Geothermal,0.0002,0.007600000000000001,,,
Austria,2023,Other Combustible Non-Renewables,63.6328,52178.896,,,
Austria,2023,Solar,94.3179,4527.2592,Solar,13414.42,AUT
Austria,2023,Not Specified,0.7696,,,,
Austria,2023,Wind,785.9267,9038.157049999998,Wind,20878.862,AUT
Belgium,2023,Nuclear,2905.563,34866.756,Nuclear,82079.88,BEL
Belgium,2023,Hydro,165.9391,3982.5384,Hydro,1018.9964,BEL
Belgium,2023,Coal-Peat and Manufactured Gases,1.1003,902.246,Coal-Peat and Manufactured Gases,27394.54,BEL
Belgium,2023,Oil and Petroleum Products,7.7723,5596.056,Oil and Petroleum Products,315108.12,BEL
Belgium,2023,Natural Gas,1235.8714,605576.986,Natural Gas,137061.37000000002,BEL
Belgium,2023,Combustible Renewables,222.7641,51235.743,,,
Belgium,2023,Other Combustible Non-Renewables,77.0907,63214.374,,,
Belgium,2023,Solar,111.2564,5340.3072,Solar,19037.664,BEL
Belgium,2023,Not Specified,20.0109,,,,
Belgium,2023,Wind,2133.154,24531.271,Wind,40722.084,BEL
Canada,2023,Nuclear,7540.0676,90480.8112,Nuclear,221892.16999999998,CAN
Canada,2023,Hydro,32153.6119,771686.6856,Hydro,946059.3,CAN
Canada,2023,Coal-Peat and Manufactured Gases,2426.3617,1989616.594,Coal-Peat and Manufactured Gases,102974.44,CAN
Canada,2023,Oil and Petroleum Products,496.0681,357169.032,Oil and Petroleum Products,1208832.5,CAN
Canada,2023,Natural Gas,7627.6359,3737541.591,Natural Gas,1207272.3,CAN
Canada,2023,Combustible Renewables,837.4095,192604.185,,,
Canada,2023,Other Combustible Non-Renewables,12.0158,9852.956,,,
Canada,2023,Solar,252.5984,12124.723199999999,Solar,19850.298,CAN
Canada,2023,Not Specified,34.9167,,,,
Canada,2023,Wind,4228.5369,48628.17435,Wind,101143.326,CAN
Chile,2023,Hydro,2704.9441,64918.65840000001,Hydro,62421.157999999996,CHL
Chile,2023,Coal-Peat and Manufactured Gases,1128.0131,924970.7419999999,Coal-Peat and Manufactured Gases,48780.945,CHL
Chile,2023,Oil and Petroleum Products,64.869,46705.68,Oil and Petroleum Products,231238.78,CHL
Chile,2023,Natural Gas,558.3712,273601.888,Natural Gas,70144.63,CHL
Chile,2023,Combustible Renewables,446.3168,102652.864,,,
Chile,2023,Geothermal,41.0912,1561.4656,,,
Chile,2023,Solar,1863.7357,89459.3136,Solar,47219.517,CHL
Chile,2023,Wind,845.5046,9723.3029,Wind,25329.07,CHL
Colombia,2023,Hydro,3997.3586,95936.6064,Hydro,155429.86,COL
Colombia,2023,Coal-Peat and Manufactured Gases,1331.9657,1092211.874,Coal-Peat and Manufactured Gases,43354.015,COL
Colombia,2023,Oil and Petroleum Products,340.6891,245296.152,Oil and Petroleum Products,271426.48000000004,COL
Colombia,2023,Natural Gas,1917.6341,939640.709,Natural Gas,130544.36999999998,COL
Colombia,2023,Combustible Renewables,189.4728,43578.744,,,
Colombia,2023,Solar,113.372,5441.856,Solar,3116.7786,COL
Czech Republic,2023,Nuclear,2561.5257,30738.3084,Nuclear,75804.344,CZE
