Country,Balance,Product,Value,Unit,Year
Australia,Net Electricity Production,Electricity,22029.6882,GWh,2024
Australia,Net Electricity Production,Hydro,1387.1418,GWh,2024
Australia,Net Electricity Production,Total Combustible Fuels,12268.4027,GWh,2024
Australia,Net Electricity Production,Coal-Peat and Manufactured Gases,8527.233,GWh,2024
Australia,Net Electricity Production,Oil and Petroleum Products,305.399,GWh,2024
Australia,Net Electricity Production,Natural Gas,3226.8724,GWh,2024
Australia,Net Electricity Production,Combustible Renewables,208.8982,GWh,2024
Australia,Net Electricity Production,Solar,5545.5802,GWh,2024
Australia,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',9970.1837,GWh,2024
Australia,Used for pumped storage,Electricity,98.968,GWh,2024
Australia,Distribution Losses,Electricity,1120.3576,GWh,2024
Australia,Final Consumption (Calculated),Electricity,20810.3626,GWh,2024
Australia,Net Electricity Production,Wind,2828.5635,GWh,2024
Austria,Net Electricity Production,Electricity,5984.8729,GWh,2024
Austria,Net Electricity Production,Total Combustible Fuels,2304.8285,GWh,2024
Austria,Net Electricity Production,Hydro,2824.1703,GWh,2024
Austria,Net Electricity Production,Coal-Peat and Manufactured Gases,149.8799,GWh,2024
Austria,Net Electricity Production,Oil and Petroleum Products,55.3564,GWh,2024
Austria,Net Electricity Production,Natural Gas,1648.8964,GWh,2024
Austria,Net Electricity Production,Combustible Renewables,377.8911,GWh,2024
Austria,Net Electricity Production,Other Combustible Non-Renewables,72.8048,GWh,2024
Austria,Net Electricity Production,Geothermal,0.0002,GWh,2024
Austria,Net Electricity Production,Solar,151.0679,GWh,2024
Austria,Net Electricity Production,Not Specified,1.1301,GWh,2024
Austria,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',4056.8054,GWh,2024
Austria,Total Imports,Electricity,2206.357,GWh,2024
Austria,Total Exports,Electricity,1868.5192,GWh,2024
Austria,Used for pumped storage,Electricity,395.586,GWh,2024
Austria,Distribution Losses,Electricity,276.575,GWh,2024
Austria,Final Consumption (Calculated),Electricity,5650.5497,GWh,2024
Austria,Net Electricity Production,Wind,703.6759,GWh,2024
Belgium,Net Electricity Production,Electricity,5800.476,GWh,2024
Belgium,Net Electricity Production,Nuclear,2065.3694,GWh,2024
Belgium,Net Electricity Production,Hydro,109.7234,GWh,2024
Belgium,Net Electricity Production,Total Combustible Fuels,2272.3905,GWh,2024
Belgium,Net Electricity Production,Coal-Peat and Manufactured Gases,197.733,GWh,2024
Belgium,Net Electricity Production,Oil and Petroleum Products,12.0311,GWh,2024
Belgium,Net Electricity Production,Natural Gas,1733.9153,GWh,2024
Belgium,Net Electricity Production,Combustible Renewables,237.6715,GWh,2024
Belgium,Net Electricity Production,Other Combustible Non-Renewables,91.0397,GWh,2024
Belgium,Net Electricity Production,Solar,204.8663,GWh,2024
Belgium,Net Electricity Production,Not Specified,23.3645,GWh,2024
Belgium,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',1677.0231,GWh,2024
Belgium,Total Imports,Electricity,2591.8399,GWh,2024
Belgium,Total Exports,Electricity,1240.1571,GWh,2024
Belgium,Used for pumped storage,Electricity,90.6596,GWh,2024
Belgium,Distribution Losses,Electricity,287.1635,GWh,2024
Belgium,Final Consumption (Calculated),Electricity,6774.3358,GWh,2024
Belgium,Net Electricity Production,Wind,1124.7618,GWh,2024
Canada,Net Electricity Production,Electricity,49530.2232,GWh,2024
Canada,Net Electricity Production,Nuclear,6642.9588,GWh,2024
Canada,Net Electricity Production,Hydro,28064.2881,GWh,2024
Canada,Net Electricity Production,Total Combustible Fuels,10311.3339,GWh,2024
Canada,Net Electricity Production,Coal-Peat and Manufactured Gases,2194.7493,GWh,2024
Canada,Net Electricity Production,Oil and Petroleum Products,448.7151,GWh,2024
