Country,Balance,Product,Year,Unit,Value
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2015,GWh,2747.782
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2016,GWh,2223.188
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2017,GWh,2110.775
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2018,GWh,2142.4678
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2019,GWh,1184.7818
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2020,GWh,1757.5688
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2021,GWh,2618.4846000000002
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2022,GWh,2494.8127
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2023,GWh,1146.6303
Argentina,Net Electricity Production,'Coal-Peat and Manufactured Gases',2024,GWh,545.9761
Argentina,Net Electricity Production,Combustible Renewables,2015,GWh,1120.509
Argentina,Net Electricity Production,Combustible Renewables,2016,GWh,1139.279
Argentina,Net Electricity Production,Combustible Renewables,2017,GWh,1303.542
Argentina,Net Electricity Production,Combustible Renewables,2018,GWh,1276.393
Argentina,Net Electricity Production,Combustible Renewables,2019,GWh,1550.9078
Argentina,Net Electricity Production,Combustible Renewables,2020,GWh,2174.5164
Argentina,Net Electricity Production,Combustible Renewables,2021,GWh,2191.639
Argentina,Net Electricity Production,Combustible Renewables,2022,GWh,2200.1311
Argentina,Net Electricity Production,Combustible Renewables,2023,GWh,2162.6892
Argentina,Net Electricity Production,Combustible Renewables,2024,GWh,2140.9045
Argentina,Net Electricity Production,Geothermal,2015,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2016,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2017,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2018,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2019,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2020,GWh,0.0
Argentina,Net Electricity Production,Geothermal,2021,GWh,0.0
Argentina,Net Electricity Production,Hydro,2015,GWh,31843.542
Argentina,Net Electricity Production,Hydro,2016,GWh,29316.745
Argentina,Net Electricity Production,Hydro,2017,GWh,31365.202
Argentina,Net Electricity Production,Hydro,2018,GWh,31865.7775
Argentina,Net Electricity Production,Hydro,2019,GWh,27234.4325
Argentina,Net Electricity Production,Hydro,2020,GWh,29441.7071
Argentina,Net Electricity Production,Hydro,2021,GWh,24452.104
Argentina,Net Electricity Production,Hydro,2022,GWh,28382.9822
Argentina,Net Electricity Production,Hydro,2023,GWh,36534.5657
Argentina,Net Electricity Production,Hydro,2024,GWh,31595.3449
Argentina,Net Electricity Production,Natural Gas,2015,GWh,73921.692
Argentina,Net Electricity Production,Natural Gas,2016,GWh,78686.2
Argentina,Net Electricity Production,Natural Gas,2017,GWh,85796.502
Argentina,Net Electricity Production,Natural Gas,2018,GWh,89487.4553
Argentina,Net Electricity Production,Natural Gas,2019,GWh,85543.9648
Argentina,Net Electricity Production,Natural Gas,2020,GWh,76242.7353
Argentina,Net Electricity Production,Natural Gas,2021,GWh,79448.0782
Argentina,Net Electricity Production,Natural Gas,2022,GWh,66751.9598
Argentina,Net Electricity Production,Natural Gas,2023,GWh,60984.8543
Argentina,Net Electricity Production,Natural Gas,2024,GWh,61219.2811
Argentina,Net Electricity Production,Not Specified,2018,GWh,0.0
Argentina,Net Electricity Production,Not Specified,2019,GWh,0.0
Argentina,Net Electricity Production,Not Specified,2020,GWh,0.0
Argentina,Net Electricity Production,Not Specified,2021,GWh,0.0
Argentina,Net Electricity Production,Nuclear,2015,GWh,6644.077
Argentina,Net Electricity Production,Nuclear,2016,GWh,7820.169
Argentina,Net Electricity Production,Nuclear,2017,GWh,5770.611
Argentina,Net Electricity Production,Nuclear,2018,GWh,6514.307
Argentina,Net Electricity Production,Nuclear,2019,GWh,7969.4683
Argentina,Net Electricity Production,Nuclear,2020,GWh,10064.5349
Argentina,Net Electricity Production,Nuclear,2021,GWh,10224.3847
Argentina,Net Electricity Production,Nuclear,2022,GWh,7508.941
Argentina,Net Electricity Production,Nuclear,2023,GWh,9010.5737
Argentina,Net Electricity Production,Nuclear,2024,GWh,9824.9789
Argentina,Net Electricity Production,Oil and Petroleum Products,2015,GWh,20709.709
Argentina,Net Electricity Production,Oil and Petroleum Products,2016,GWh,19428.727
Argentina,Net Electricity Production,Oil and Petroleum Products,2017,GWh,10945.125
Argentina,Net Electricity Production,Oil and Petroleum Products,2018,GWh,6391.6673
Argentina,Net Electricity Production,Oil and Petroleum Products,2019,GWh,3240.0166
Argentina,Net Electricity Production,Oil and Petroleum Products,2020,GWh,6316.7652
Argentina,Net Electricity Production,Oil and Petroleum Products,2021,GWh,11550.8195
Argentina,Net Electricity Production,Oil and Petroleum Products,2022,GWh,14158.0902
Argentina,Net Electricity Production,Oil and Petroleum Products,2023,GWh,12940.9046
Argentina,Net Electricity Production,Oil and Petroleum Products,2024,GWh,7992.363
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2015,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2016,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2017,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2018,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2019,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2020,GWh,0.0
Argentina,Net Electricity Production,Other Combustible Non-Renewables,2021,GWh,0.0
Argentina,Net Electricity Production,Other Renewables,2015,GWh,0.0
Argentina,Net Electricity Production,Other Renewables,2018,GWh,0.0
Argentina,Net Electricity Production,Other Renewables,2019,GWh,0.0
Argentina,Net Electricity Production,Other Renewables,2020,GWh,0.0
Argentina,Net Electricity Production,Other Renewables,2021,GWh,0.0
Argentina,Net Electricity Production,Solar,2015,GWh,14.912
Argentina,Net Electricity Production,Solar,2016,GWh,13.917
Argentina,Net Electricity Production,Solar,2017,GWh,16.323999999999998
Argentina,Net Electricity Production,Solar,2018,GWh,107.5124
Argentina,Net Electricity Production,Solar,2019,GWh,791.8435
Argentina,Net Electricity Production,Solar,2020,GWh,1331.154
Argentina,Net Electricity Production,Solar,2021,GWh,2180.9849
Argentina,Net Electricity Production,Solar,2022,GWh,2911.202
Argentina,Net Electricity Production,Solar,2023,GWh,3240.2389000000003
Argentina,Net Electricity Production,Solar,2024,GWh,3437.9345
Argentina,Net Electricity Production,Wind,2015,GWh,588.61
Argentina,Net Electricity Production,Wind,2016,GWh,543.942
Argentina,Net Electricity Production,Wind,2017,GWh,607.149
Argentina,Net Electricity Production,Wind,2018,GWh,1402.5364
Argentina,Net Electricity Production,Wind,2019,GWh,4946.8974
Argentina,Net Electricity Production,Wind,2020,GWh,9318.2096
Argentina,Net Electricity Production,Wind,2021,GWh,12810.4804
Argentina,Net Electricity Production,Wind,2022,GWh,14025.8676
Argentina,Net Electricity Production,Wind,2023,GWh,14333.6684
Argentina,Net Electricity Production,Wind,2024,GWh,14574.3647
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2010,GWh,163887.775
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2011,GWh,163949.76
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2012,GWh,153868.902
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2013,GWh,145139.331
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2014,GWh,145301.084
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2015,GWh,152537.68349999998
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2016,GWh,154201.6464
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2017,GWh,148597.7165
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2018,GWh,146846.2601
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2019,GWh,140407.6212
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2020,GWh,133924.5624
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2021,GWh,128337.1033
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2022,GWh,120292.4249
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2023,GWh,117203.4648
Australia,Net Electricity Production,'Coal-Peat and Manufactured Gases',2024,GWh,109630.0378
Australia,Net Electricity Production,Combustible Renewables,2010,GWh,2288.826
Australia,Net Electricity Production,Combustible Renewables,2011,GWh,2416.65
Australia,Net Electricity Production,Combustible Renewables,2012,GWh,2902.194
Australia,Net Electricity Production,Combustible Renewables,2013,GWh,3110.928
Australia,Net Electricity Production,Combustible Renewables,2014,GWh,3333.354
Australia,Net Electricity Production,Combustible Renewables,2015,GWh,3256.7032
Australia,Net Electricity Production,Combustible Renewables,2016,GWh,5225.0481
Australia,Net Electricity Production,Combustible Renewables,2017,GWh,3589.2393
Australia,Net Electricity Production,Combustible Renewables,2018,GWh,3190.9579
Australia,Net Electricity Production,Combustible Renewables,2019,GWh,3052.0138
Australia,Net Electricity Production,Combustible Renewables,2020,GWh,2988.4945
Australia,Net Electricity Production,Combustible Renewables,2021,GWh,3028.7433
Australia,Net Electricity Production,Combustible Renewables,2022,GWh,2897.8545
Australia,Net Electricity Production,Combustible Renewables,2023,GWh,2992.8058
Australia,Net Electricity Production,Combustible Renewables,2024,GWh,2637.8669
Australia,Net Electricity Production,Geothermal,2010,GWh,0.996
Australia,Net Electricity Production,Geothermal,2011,GWh,0.996
Australia,Net Electricity Production,Geothermal,2012,GWh,0.996
Australia,Net Electricity Production,Geothermal,2013,GWh,0.996
Australia,Net Electricity Production,Geothermal,2014,GWh,0.996
Australia,Net Electricity Production,Geothermal,2015,GWh,0.498
Australia,Net Electricity Production,Geothermal,2016,GWh,0.498
Australia,Net Electricity Production,Geothermal,2017,GWh,0.498
Australia,Net Electricity Production,Geothermal,2018,GWh,0.0
Australia,Net Electricity Production,Geothermal,2019,GWh,0.0
Australia,Net Electricity Production,Geothermal,2020,GWh,0.0
Australia,Net Electricity Production,Geothermal,2021,GWh,0.0
Australia,Net Electricity Production,Hydro,2010,GWh,16471.891
Australia,Net Electricity Production,Hydro,2011,GWh,13997.976999999999
Australia,Net Electricity Production,Hydro,2012,GWh,16664.078
Australia,Net Electricity Production,Hydro,2013,GWh,19259.803
Australia,Net Electricity Production,Hydro,2014,GWh,14590.378
Australia,Net Electricity Production,Hydro,2015,GWh,14263.5262
Australia,Net Electricity Production,Hydro,2016,GWh,17985.4282
Australia,Net Electricity Production,Hydro,2017,GWh,13532.2284
Australia,Net Electricity Production,Hydro,2018,GWh,17819.0813
Australia,Net Electricity Production,Hydro,2019,GWh,14275.7027
Australia,Net Electricity Production,Hydro,2020,GWh,14880.5986
Australia,Net Electricity Production,Hydro,2021,GWh,16324.3373
Australia,Net Electricity Production,Hydro,2022,GWh,17477.0241
Australia,Net Electricity Production,Hydro,2023,GWh,16071.4081
Australia,Net Electricity Production,Hydro,2024,GWh,13485.6489
Australia,Net Electricity Production,Natural Gas,2010,GWh,45678.585
Australia,Net Electricity Production,Natural Gas,2011,GWh,44615.347
Australia,Net Electricity Production,Natural Gas,2012,GWh,48105.378
Australia,Net Electricity Production,Natural Gas,2013,GWh,46127.382
Australia,Net Electricity Production,Natural Gas,2014,GWh,53926.202
Australia,Net Electricity Production,Natural Gas,2015,GWh,47353.9818
Australia,Net Electricity Production,Natural Gas,2016,GWh,44037.9603
Australia,Net Electricity Production,Natural Gas,2017,GWh,51955.1003
Australia,Net Electricity Production,Natural Gas,2018,GWh,46601.462
Australia,Net Electricity Production,Natural Gas,2019,GWh,50938.6648
Australia,Net Electricity Production,Natural Gas,2020,GWh,48812.8267
Australia,Net Electricity Production,Natural Gas,2021,GWh,44001.09
Australia,Net Electricity Production,Natural Gas,2022,GWh,46764.4052
Australia,Net Electricity Production,Natural Gas,2023,GWh,41980.8009
Australia,Net Electricity Production,Natural Gas,2024,GWh,40747.4011
Australia,Net Electricity Production,Not Specified,2018,GWh,0.0
Australia,Net Electricity Production,Not Specified,2019,GWh,0.0
Australia,Net Electricity Production,Not Specified,2020,GWh,0.0
Australia,Net Electricity Production,Not Specified,2021,GWh,0.0
Australia,Net Electricity Production,Nuclear,2018,GWh,0.0
Australia,Net Electricity Production,Nuclear,2019,GWh,0.0
Australia,Net Electricity Production,Nuclear,2020,GWh,0.0
Australia,Net Electricity Production,Nuclear,2021,GWh,0.0
Australia,Net Electricity Production,Oil and Petroleum Products,2010,GWh,2447.7780000000002
Australia,Net Electricity Production,Oil and Petroleum Products,2011,GWh,5340.405
Australia,Net Electricity Production,Oil and Petroleum Products,2012,GWh,4657.9529999999995
Australia,Net Electricity Production,Oil and Petroleum Products,2013,GWh,4428.611
Australia,Net Electricity Production,Oil and Petroleum Products,2014,GWh,6115.132
